t,Vel,Motor,Marcha
1730932795.07,29.99,5.11,1.45
1730932796.07,29.12,4.37,1.45
1730932797.07,28.27,4.34,1.45
1730932798.12,27.39,4.34,1.45
1730932799.06,26.62,4.34,1.45
1730932800.07,25.8,15.97,1.45
1730932801.06,25.02,4.83,1.45
1730932802.07,24.23,4.36,1.45
1730932803.07,23.45,4.34,1.45
1730932804.13,22.64,4.34,1.45
1730932805.06,21.94,4.34,1.45
1730932806.07,21.2,4.34,1.45
1730932807.07,20.46,4.34,1.45
1730932808.07,19.74,4.34,1.45
1730932809.07,19.02,4.34,1.45
1730932810.14,18.26,4.34,1.45
1730932811.06,17.63,667.51,2.79
1730932812.07,16.94,46.38,1.45
1730932813.06,16.26,6.09,1.45
1730932814.07,15.58,4.41,1.45
1730932815.07,14.91,4.34,1.45
1730932816.14,14.2,4.34,1.45
1730932817.06,13.58,4.34,1.45
1730932818.07,12.93,4.34,1.45
1730932819.07,12.27,4.34,1.45
1730932820.06,11.64,4.34,1.45
1730932821.07,11.14,844.66,5.08
1730932822.14,11.83,759.3,2.98
1730932823.06,11.47,794.95,4.04
1730932824.07,12.13,880.7,5.29
1730932825.07,12.93,901.79,4.57
1730932826.07,12.91,811.14,3.3
1730932827.07,12.54,796.49,3.47
1730932828.12,12.5,867.61,4.38
1730932829.06,12.66,879.58,4.43
1730932830.07,12.62,849.0,3.97
1730932831.07,12.68,859.89,4.16
1730932832.07,12.77,913.4,5.22
1730932833.07,13.45,936.21,4.91
1730932834.12,13.3,449.41,1.76
1730932835.06,12.69,216.03,1.73
1730932836.07,12.05,382.45,1.85
1730932837.07,11.43,446.05,1.83
1730932838.07,10.8,244.13,1.66
1730932839.07,10.17,83.67,1.47
1730932840.13,9.49,154.41,1.64
1730932841.06,8.91,191.97,1.59
1730932842.07,8.3,155.72,1.57
1730932843.07,7.67,176.52,1.64
1730932844.07,7.06,139.78,1.54
1730932845.07,6.44,161.54,1.59
1730932846.14,5.8,169.79,1.59
1730932847.06,5.24,243.6,1.59
1730932848.07,4.63,99.95,1.52
1730932849.07,4.03,118.75,1.54
1730932850.07,3.42,121.89,1.59
1730932851.07,2.82,109.55,1.59
1730932852.14,2.18,142.59,1.59
1730932853.06,1.62,112.06,1.71
1730932854.07,1.07,100.14,1.61
1730932855.07,0.54,96.91,1.61
1730932856.07,0.16,147.51,1.52
1730932857.07,0.0,140.08,1.52
1730932858.14,0.0,144.61,1.59
1730932859.06,0.0,121.88,1.61
1730932860.07,0.0,103.28,1.64
1730932861.07,0.0,124.19,1.61
1730932862.07,0.01,130.8,1.59
1730932863.07,0.0,150.0,1.64
1730932864.11,0.0,108.61,1.59
1730932865.07,0.01,139.57,1.66
1730932866.07,0.0,125.98,1.57
1730932867.07,0.0,135.47,1.64
1730932868.07,0.0,217.89,1.69
1730932869.07,0.0,122.59,1.57
1730932870.12,0.0,129.07,1.59
1730932871.06,0.0,116.41,1.61
1730932872.07,0.0,109.72,1.59
1730932873.07,0.0,119.8,1.59
1730932874.07,0.0,112.13,1.57
1730932875.07,0.0,117.27,1.59
1730932876.14,0.0,113.26,1.57
1730932877.06,0.0,114.41,1.64
1730932878.07,0.0,146.93,1.57
1730932879.07,0.02,204.25,1.57
1730932880.07,0.01,136.29,1.54
1730932881.07,0.0,120.76,1.76
1730932882.14,0.0,92.61,1.54
1730932883.06,0.0,123.97,1.61
1730932884.07,0.0,149.88,1.61
1730932885.07,0.01,178.9,1.59
1730932886.07,0.01,142.07,1.59
1730932887.07,0.0,87.27,1.57
1730932888.13,0.0,164.77,1.59
1730932889.06,0.01,178.49,1.49
1730932890.07,0.0,92.18,1.59
1730932891.07,0.04,196.93,1.73
1730932892.07,0.0,97.55,1.59
1730932893.07,0.0,107.42,1.54
1730932894.12,0.0,134.1,1.83
1730932895.06,0.0,109.74,1.52
1730932896.07,0.03,197.7,1.59
1730932897.07,0.0,163.89,1.61
1730932898.07,0.0,96.34,1.52
1730932899.07,0.01,202.32,1.61
1730932900.13,0.03,188.9,1.52
1730932901.06,0.0,91.86,1.52
1730932902.07,0.0,87.49,1.59
1730932903.07,0.0,92.61,1.59
1730932904.07,0.0,127.78,1.57
1730932905.07,0.0,83.02,1.54
1730932906.14,0.0,114.45,1.52
1730932907.06,0.0,127.75,1.54
1730932908.07,0.0,98.38,1.57
1730932909.07,0.0,87.57,1.52
1730932910.07,0.0,101.54,1.52
1730932911.07,0.0,117.65,1.54
1730932912.14,0.0,110.14,1.52
1730932913.06,0.0,102.65,1.49
1730932914.07,0.0,170.97,1.52
1730932915.07,0.0,135.35,1.54
1730932916.07,0.0,109.97,1.54
1730932917.07,0.0,131.87,1.47
1730932918.11,0.0,138.37,1.54
1730932919.07,0.01,102.68,1.61
1730932920.07,0.01,178.57,1.59
1730932921.07,0.0,126.16,1.52
1730932922.07,0.01,87.22,1.49
1730932923.08,0.0,94.04,1.54
1730932924.12,0.0,92.72,1.59
1730932925.06,0.0,97.12,1.47
1730932926.07,0.0,90.56,1.52
1730932927.06,0.01,145.65,1.61
1730932928.07,0.0,96.14,1.57
1730932929.07,0.0,100.68,1.57
1730932930.13,0.0,89.48,1.54
1730932931.07,0.0,97.04,1.54
1730932932.07,0.01,166.85,1.57
1730932933.07,0.0,123.52,1.52
1730932934.07,0.0,107.63,1.76
1730932935.07,0.0,119.25,1.52
1730932936.14,0.0,180.12,1.54
1730932937.06,0.0,100.32,1.54
1730932938.07,0.0,87.95,1.52
1730932939.07,0.0,98.98,1.49
1730932940.07,0.0,85.55,1.61
1730932941.07,0.0,142.91,1.49
1730932942.14,0.0,96.0,1.54
1730932943.06,0.0,96.54,1.54
1730932944.07,0.01,93.53,1.54
1730932945.07,0.01,243.45,1.49
1730932946.07,0.0,87.09,1.52
1730932947.06,0.01,128.03,1.52
1730932948.11,0.0,80.19,1.54
1730932949.06,0.0,110.62,1.66
1730932950.07,0.0,70.74,1.57
1730932951.07,0.0,91.55,1.47
1730932952.07,0.0,119.16,1.69
1730932953.08,0.0,76.98,1.57
1730932954.11,0.0,74.79,1.47
1730932955.07,0.0,155.01,1.54
1730932956.07,0.0,118.22,1.57
1730932957.07,0.0,69.48,1.54
1730932958.07,0.0,94.7,1.54
1730932959.07,0.0,72.93,1.57
1730932960.13,0.0,103.53,1.52
